index,food_type,weight_g,temperature_C,humidity_%,gas_ppm,days_since_added,condition,sufficient
726,apple-pie,230.9,7.9,44.0,20.1,1,near_spoiled,not_sufficient
22950,fish_and_chips,261.4,4.3,67.3,3.4,3,fine,not_sufficient
34658,ice_cream,597.5,2.8,55.7,5.3,3,fine,sufficient
37214,nachos,326.3,0.8,52.0,3.3,6,near_spoiled,sufficient
20305,falafel,230.7,4.9,66.7,5.4,6,near_spoiled,not_sufficient
15270,cup_cakes,475.2,5.9,43.6,3.5,6,near_spoiled,sufficient
22368,fish_and_chips,322.5,2.6,55.4,5.8,0,fine,sufficient
42685,ramen,387.5,4.3,62.0,6.7,4,fine,sufficient
46735,spaghetti_carbonara,306.5,5.6,47.8,3.9,5,near_spoiled,sufficient
11733,chicken_curry,402.8,3.1,66.0,5.0,0,fine,sufficient
18620,dumplings,243.1,7.5,58.9,3.6,5,near_spoiled,not_sufficient
48493,sushi,247.0,5.3,73.3,3.3,3,fine,not_sufficient
26804,fried_calamari,382.3,4.6,64.2,4.9,6,near_spoiled,sufficient
44306,sashimi,592.8,4.5,45.7,4.4,2,fine,sufficient
47523,strawberry_shortcake,189.9,4.4,51.4,6.7,1,fine,not_sufficient
32208,hot_dog,385.6,3.5,49.2,5.4,0,fine,sufficient
2531,beef_carpaccio,312.3,7.1,41.8,0.7,1,near_spoiled,sufficient
17747,donuts,140.7,3.8,47.0,5.1,0,fine,not_sufficient
8271,ceviche,460.0,6.0,45.6,6.4,2,fine,sufficient
15080,cup_cakes,325.7,4.7,64.4,5.7,3,fine,sufficient
13625,chocolate_cake,286.7,4.9,60.8,7.8,7,spoiled,not_sufficient
30639,grilled_salmon,308.6,8.1,56.4,3.8,1,spoiled,sufficient
30441,grilled_salmon,252.5,2.0,54.2,1.8,6,near_spoiled,not_sufficient
36057,macaroni_and_cheese,378.0,4.2,47.9,5.1,3,fine,sufficient
42652,ramen,289.5,5.2,45.0,5.4,2,fine,not_sufficient
36804,macaroni_and_cheese,538.2,2.2,56.1,3.0,7,spoiled,sufficient
48225,sushi,402.3,4.3,44.5,4.8,0,fine,sufficient
29227,greek_salad,343.5,6.2,74.7,21.8,2,near_spoiled,sufficient
5634,breakfast_burrito,456.6,5.0,67.4,4.4,4,fine,sufficient
5988,breakfast_burrito,431.4,5.3,76.9,6.6,2,fine,sufficient
48064,sushi,470.0,5.0,54.1,5.2,3,fine,sufficient
1813,baklava,225.3,1.4,42.2,8.7,2,fine,not_sufficient
27579,fried_rice,429.6,2.7,65.7,4.3,6,near_spoiled,sufficient
16824,deviled_eggs,298.0,7.4,65.5,4.6,4,near_spoiled,not_sufficient
3929,beef_salad,150.8,3.2,68.6,20.1,0,near_spoiled,not_sufficient
37287,nachos,571.8,8.2,65.4,8.3,1,spoiled,sufficient
25046,french_toast,288.9,4.0,62.6,5.6,1,fine,not_sufficient
15728,cup_cakes,348.3,5.0,71.4,4.0,4,fine,sufficient
29601,greek_salad,378.5,6.0,34.7,19.3,1,near_spoiled,sufficient
10431,cheesecake,556.1,8.4,41.5,7.8,4,spoiled,sufficient
25769,french_toast,398.6,5.9,69.0,11.6,1,fine,sufficient
29104,greek_salad,328.4,8.2,53.9,24.3,2,spoiled,sufficient
36538,macaroni_and_cheese,240.6,2.9,78.5,2.2,1,fine,not_sufficient
39329,onion_rings,339.7,4.5,55.5,3.2,4,fine,sufficient
35540,lobster_roll_sandwich,225.7,7.6,59.5,6.2,5,near_spoiled,not_sufficient
28076,garlic_bread,263.3,5.9,32.3,6.3,7,spoiled,not_sufficient
17841,donuts,362.6,4.4,75.8,6.3,2,fine,sufficient
27803,fried_rice,359.7,5.8,46.4,4.5,4,fine,sufficient
7683,carrot_cake,376.7,5.3,55.1,24.1,3,near_spoiled,sufficient
24280,french_onion_soup,272.7,2.3,39.7,5.6,2,fine,not_sufficient
33071,hummus,217.8,6.0,67.9,6.8,2,fine,not_sufficient
35558,lobster_roll_sandwich,353.8,5.0,50.5,2.8,2,fine,sufficient
37190,nachos,341.5,7.5,59.3,2.1,6,near_spoiled,sufficient
47150,strawberry_shortcake,348.7,7.1,36.2,3.7,6,near_spoiled,sufficient
46916,spaghetti_carbonara,341.5,6.8,59.1,6.0,7,spoiled,sufficient
9802,cheese_plate,460.5,8.2,55.4,3.4,1,spoiled,sufficient
38801,omelette,458.8,5.6,62.0,3.8,7,spoiled,sufficient
24670,french_onion_soup,360.2,3.4,65.5,3.2,3,fine,sufficient
44234,sashimi,364.4,3.8,36.0,3.9,1,fine,sufficient
31920,hot_and_sour_soup,265.5,0.1,46.6,2.6,5,near_spoiled,not_sufficient
7135,carrot_cake,467.6,2.6,43.0,22.4,1,near_spoiled,sufficient
33705,hummus,391.1,4.4,80.3,2.3,4,fine,sufficient
29661,greek_salad,339.7,4.8,78.2,22.1,1,near_spoiled,sufficient
17894,donuts,241.1,8.8,39.0,4.8,2,spoiled,not_sufficient
22019,fish_and_chips,353.1,4.1,41.5,6.1,2,fine,sufficient
13539,chocolate_cake,458.5,6.9,74.4,3.9,0,near_spoiled,sufficient
43119,risotto,481.6,5.2,47.2,4.8,4,fine,sufficient
36421,macaroni_and_cheese,358.5,6.7,72.5,2.7,4,near_spoiled,sufficient
9406,cheese_plate,224.6,2.6,78.8,5.6,0,fine,not_sufficient
13414,chocolate_cake,358.0,6.7,53.9,2.6,3,near_spoiled,sufficient
6721,caesar_salad,337.2,2.4,45.5,24.4,0,near_spoiled,sufficient
15602,cup_cakes,186.9,6.1,52.4,6.1,3,near_spoiled,not_sufficient
44744,sashimi,261.1,3.0,51.2,3.0,1,fine,not_sufficient
31139,hot_and_sour_soup,222.9,6.6,64.9,3.8,5,near_spoiled,not_sufficient
2730,beef_carpaccio,363.1,7.2,70.2,5.0,3,near_spoiled,sufficient
38243,omelette,206.4,6.1,48.1,6.9,6,near_spoiled,not_sufficient
29626,greek_salad,219.4,4.8,54.7,13.3,2,fine,not_sufficient
47895,strawberry_shortcake,318.6,3.9,81.4,4.1,2,fine,sufficient
42091,ramen,375.3,3.6,65.0,0.0,0,fine,sufficient
36400,macaroni_and_cheese,172.3,5.7,50.6,3.8,4,fine,not_sufficient
6245,caesar_salad,419.4,5.3,73.9,15.0,0,fine,sufficient
5546,breakfast_burrito,309.6,2.3,50.6,5.6,6,near_spoiled,sufficient
4065,bread_pudding,321.3,6.3,45.3,6.2,3,near_spoiled,sufficient
12852,chicken_wings,241.0,2.0,48.7,8.7,2,fine,not_sufficient
21803,filet_mignon,275.6,2.5,69.5,5.4,6,near_spoiled,not_sufficient
41164,pizza,319.4,5.7,30.7,2.9,3,fine,sufficient
6233,caesar_salad,374.8,5.7,48.7,24.6,1,near_spoiled,sufficient
3863,beef_salad,242.8,1.8,87.9,19.2,3,near_spoiled,not_sufficient
35095,lobster_roll_sandwich,482.3,5.5,40.6,5.2,7,spoiled,sufficient
40196,pancakes,491.6,6.1,38.2,6.2,4,near_spoiled,sufficient
39251,onion_rings,307.8,4.7,55.7,6.9,7,spoiled,sufficient
6218,caesar_salad,410.6,6.5,62.9,14.5,1,near_spoiled,sufficient
36776,macaroni_and_cheese,401.3,6.2,63.6,3.8,1,near_spoiled,sufficient
42977,ramen,423.1,7.3,87.2,3.5,3,near_spoiled,sufficient
48468,sushi,417.8,4.7,72.6,5.4,2,fine,sufficient
14832,creme_brulee,336.3,1.2,58.5,3.9,5,near_spoiled,sufficient
30093,grilled_salmon,370.3,3.6,66.4,5.0,2,fine,sufficient
8894,ceviche,342.2,3.5,52.6,3.3,0,fine,sufficient
6021,caesar_salad,415.3,3.6,41.8,19.9,3,near_spoiled,sufficient
46089,spaghetti_carbonara,353.2,3.6,60.6,7.9,0,fine,sufficient
15243,cup_cakes,300.9,3.6,56.2,0.2,7,spoiled,sufficient
45308,seaweed_salad,487.7,4.4,45.3,19.9,3,near_spoiled,sufficient
26551,fried_calamari,266.7,5.6,48.7,3.1,0,fine,not_sufficient
6035,caesar_salad,266.4,5.2,47.4,9.3,1,fine,not_sufficient
7906,carrot_cake,267.9,5.8,74.1,13.8,4,fine,not_sufficient
32226,hot_dog,531.7,6.4,58.4,4.9,6,near_spoiled,sufficient
6018,caesar_salad,461.0,5.2,61.4,19.2,2,near_spoiled,sufficient
21880,filet_mignon,304.0,3.4,65.7,2.5,3,fine,sufficient
2792,beef_carpaccio,667.1,4.0,50.8,3.8,5,near_spoiled,sufficient
42606,ramen,416.0,5.0,47.0,7.4,5,near_spoiled,sufficient
5824,breakfast_burrito,384.6,2.0,53.6,1.0,2,fine,sufficient
15388,cup_cakes,455.1,7.3,68.4,2.3,7,spoiled,sufficient
29562,greek_salad,404.4,4.4,45.6,18.4,3,near_spoiled,sufficient
39476,onion_rings,399.9,7.1,44.5,6.4,4,near_spoiled,sufficient
293,apple-pie,254.3,4.9,31.0,22.3,4,near_spoiled,not_sufficient
16958,deviled_eggs,635.4,4.3,57.4,7.6,3,fine,sufficient
30861,grilled_salmon,307.8,1.1,55.2,4.0,1,fine,sufficient
14074,creme_brulee,328.9,0.8,70.2,7.3,0,fine,sufficient
21857,filet_mignon,576.9,5.0,73.8,6.5,7,spoiled,sufficient
22080,fish_and_chips,336.1,5.5,88.3,2.2,7,spoiled,sufficient
17024,donuts,110.8,4.6,48.4,1.0,5,near_spoiled,not_sufficient
8740,ceviche,438.5,4.5,43.1,7.9,3,fine,sufficient
15826,cup_cakes,310.3,6.0,76.5,6.7,7,spoiled,sufficient
2742,beef_carpaccio,241.0,5.6,59.6,4.9,1,fine,not_sufficient
18049,dumplings,421.4,3.8,54.6,4.9,5,near_spoiled,sufficient
49937,waffles,334.9,5.1,82.0,7.1,5,near_spoiled,sufficient
17373,donuts,420.2,5.6,41.9,4.9,4,fine,sufficient
22022,fish_and_chips,507.4,2.4,60.6,5.2,2,fine,sufficient
46365,spaghetti_carbonara,256.8,4.0,45.0,5.7,6,near_spoiled,not_sufficient
23538,french_fries,440.4,6.4,67.5,7.5,3,near_spoiled,sufficient
45500,seaweed_salad,465.3,7.2,49.3,17.2,3,near_spoiled,sufficient
40186,pancakes,381.4,3.7,56.0,2.2,2,fine,sufficient
9614,cheese_plate,440.2,8.0,66.2,1.6,5,near_spoiled,sufficient
43282,risotto,414.5,5.1,37.2,7.2,1,fine,sufficient
37892,nachos,374.2,7.6,57.6,5.5,4,near_spoiled,sufficient
26179,fried_calamari,500.0,3.6,57.3,6.1,6,near_spoiled,sufficient
45893,seaweed_salad,441.5,7.5,51.8,18.1,3,near_spoiled,sufficient
20934,falafel,396.1,3.0,72.0,7.4,2,fine,sufficient
40972,pancakes,410.5,6.3,88.7,4.4,0,near_spoiled,sufficient
22225,fish_and_chips,332.2,4.2,36.5,2.8,0,fine,sufficient
24382,french_onion_soup,460.2,7.7,61.4,4.1,7,spoiled,sufficient
34856,ice_cream,361.1,1.3,41.6,6.1,3,fine,sufficient
48578,sushi,445.0,3.1,59.5,6.2,1,fine,sufficient
38537,omelette,447.0,6.0,62.0,6.1,3,fine,sufficient
31756,hot_and_sour_soup,279.2,7.0,49.5,3.9,1,near_spoiled,not_sufficient
7754,carrot_cake,240.1,2.2,42.8,21.2,3,near_spoiled,not_sufficient
46639,spaghetti_carbonara,336.6,7.1,55.2,6.0,6,near_spoiled,sufficient
43835,risotto,277.3,6.5,35.1,5.1,7,spoiled,not_sufficient
26236,fried_calamari,485.8,4.5,48.1,4.8,0,fine,sufficient
44230,sashimi,237.0,5.1,46.7,5.3,1,fine,not_sufficient
49597,waffles,292.6,5.0,81.5,8.3,2,fine,not_sufficient
18553,dumplings,365.1,6.5,49.1,5.7,6,near_spoiled,sufficient
43137,risotto,237.1,3.7,72.4,4.6,0,fine,not_sufficient
36673,macaroni_and_cheese,406.2,9.0,78.9,7.2,6,spoiled,sufficient
43650,risotto,301.0,7.7,48.6,3.4,7,spoiled,sufficient
3941,beef_salad,294.6,6.0,50.7,19.9,3,near_spoiled,not_sufficient
31497,hot_and_sour_soup,455.7,7.7,67.8,3.8,0,near_spoiled,sufficient
26594,fried_calamari,417.3,5.7,68.9,7.8,5,near_spoiled,sufficient
23922,french_fries,278.3,2.1,29.6,7.7,0,fine,not_sufficient
26403,fried_calamari,272.6,7.1,47.2,4.2,3,near_spoiled,not_sufficient
45943,seaweed_salad,571.6,6.9,71.4,17.0,3,near_spoiled,sufficient
48526,sushi,213.2,3.8,45.6,6.1,1,fine,not_sufficient
18316,dumplings,361.1,3.4,65.7,4.4,3,fine,sufficient
36894,macaroni_and_cheese,187.5,5.9,66.9,2.2,5,near_spoiled,not_sufficient
26696,fried_calamari,236.9,6.6,34.2,2.1,4,near_spoiled,not_sufficient
42128,ramen,514.5,6.5,49.5,0.0,1,near_spoiled,sufficient
14171,creme_brulee,193.1,0.2,44.9,3.4,6,near_spoiled,not_sufficient
3733,beef_salad,373.1,5.0,59.5,12.9,3,fine,sufficient
7882,carrot_cake,255.4,3.3,59.4,19.8,3,near_spoiled,not_sufficient
6017,caesar_salad,392.4,5.6,51.2,18.5,1,near_spoiled,sufficient
23030,french_fries,326.1,10.0,55.0,3.6,3,spoiled,sufficient
35474,lobster_roll_sandwich,388.1,1.7,74.8,5.0,2,fine,sufficient
49686,waffles,245.7,4.7,63.8,6.8,1,fine,not_sufficient
4818,bread_pudding,397.9,5.5,48.2,8.3,3,fine,sufficient
41694,pizza,317.5,2.4,45.9,4.4,3,fine,sufficient
12008,chicken_wings,344.8,3.6,92.2,7.1,6,near_spoiled,sufficient
41328,pizza,368.2,4.4,48.4,5.5,7,spoiled,sufficient
9507,cheese_plate,107.7,6.1,64.4,6.7,0,near_spoiled,not_sufficient
44799,sashimi,547.2,3.5,57.8,6.6,1,fine,sufficient
34063,ice_cream,274.3,3.8,62.1,1.8,1,fine,not_sufficient
27475,fried_rice,273.3,5.3,51.5,9.5,7,spoiled,not_sufficient
31144,hot_and_sour_soup,258.0,2.1,51.4,2.5,1,fine,not_sufficient
21236,filet_mignon,288.3,4.2,29.2,2.7,4,fine,not_sufficient
1391,baklava,421.2,6.4,38.7,5.3,7,spoiled,sufficient
38250,omelette,321.8,6.9,54.8,2.6,3,near_spoiled,sufficient
37625,nachos,340.0,7.0,38.5,8.5,3,near_spoiled,sufficient
42029,ramen,296.9,6.0,58.1,5.8,3,fine,not_sufficient
20835,falafel,420.6,2.1,53.9,5.4,7,spoiled,sufficient
14758,creme_brulee,242.4,2.1,65.3,6.0,7,spoiled,not_sufficient
26397,fried_calamari,280.4,0.0,75.6,5.7,6,near_spoiled,not_sufficient
6809,caesar_salad,383.4,3.3,61.2,14.8,1,fine,sufficient
9226,cheese_plate,521.7,3.4,76.6,2.6,3,fine,sufficient
48395,sushi,211.7,4.3,81.2,2.3,0,fine,not_sufficient
5396,breakfast_burrito,253.7,6.1,72.5,3.1,7,spoiled,not_sufficient
6944,caesar_salad,413.4,9.0,93.7,17.1,0,spoiled,sufficient
23871,french_fries,401.3,4.3,97.8,9.3,2,fine,sufficient
32493,hot_dog,272.2,6.6,72.2,7.1,5,near_spoiled,not_sufficient
36346,macaroni_and_cheese,243.8,5.5,59.5,3.5,2,fine,not_sufficient
10756,cheesecake,434.4,5.3,74.1,2.4,1,fine,sufficient
12302,chicken_wings,237.3,1.1,52.9,6.7,5,near_spoiled,not_sufficient
48387,sushi,524.8,5.5,55.5,4.6,1,fine,sufficient
42746,ramen,529.5,6.6,48.2,7.5,6,near_spoiled,sufficient
29090,greek_salad,398.6,5.6,66.0,21.2,3,near_spoiled,sufficient
44713,sashimi,388.0,4.5,44.5,8.0,6,near_spoiled,sufficient
14344,creme_brulee,214.6,2.5,54.5,2.9,1,fine,not_sufficient
38173,omelette,393.4,4.0,74.8,6.2,0,fine,sufficient
5072,breakfast_burrito,455.2,3.6,48.3,2.2,3,fine,sufficient
24122,french_onion_soup,362.5,6.3,61.7,2.9,3,near_spoiled,sufficient
48810,sushi,153.5,4.5,40.7,4.9,0,fine,not_sufficient
17821,donuts,342.2,6.8,60.4,0.0,7,spoiled,sufficient
1123,baklava,445.4,4.8,32.6,6.0,6,near_spoiled,sufficient
11265,chicken_curry,341.8,6.5,68.5,4.7,0,near_spoiled,sufficient
30580,grilled_salmon,230.7,4.4,58.1,3.6,3,fine,not_sufficient
45465,seaweed_salad,370.7,4.7,61.0,18.7,0,near_spoiled,sufficient
48217,sushi,414.2,3.8,45.1,3.7,1,fine,sufficient
43045,risotto,207.6,5.7,66.7,4.1,0,fine,not_sufficient
15657,cup_cakes,491.1,5.6,81.6,6.5,1,fine,sufficient
1901,baklava,335.7,5.2,28.9,1.4,5,near_spoiled,sufficient
148,apple-pie,328.7,4.8,56.3,24.6,7,spoiled,sufficient
29643,greek_salad,361.4,4.6,83.7,20.1,3,near_spoiled,sufficient
3212,beef_salad,277.8,5.3,65.3,17.6,2,near_spoiled,not_sufficient
43851,risotto,395.8,4.1,49.3,4.8,7,spoiled,sufficient
2355,beef_carpaccio,448.8,6.4,58.8,4.6,7,spoiled,sufficient
31521,hot_and_sour_soup,264.6,2.9,53.6,0.3,6,near_spoiled,not_sufficient
42584,ramen,197.1,4.2,62.8,5.4,5,near_spoiled,not_sufficient
43338,risotto,463.9,8.5,62.8,1.5,2,spoiled,sufficient
45285,seaweed_salad,202.8,0.9,58.7,14.8,1,fine,not_sufficient
46957,spaghetti_carbonara,455.8,6.2,78.2,4.0,6,near_spoiled,sufficient
48791,sushi,409.3,2.4,77.6,3.0,0,fine,sufficient
36586,macaroni_and_cheese,245.8,6.2,56.4,4.1,4,near_spoiled,not_sufficient
10466,cheesecake,231.9,8.4,38.3,0.8,0,spoiled,not_sufficient
7822,carrot_cake,281.3,6.1,51.8,26.8,3,spoiled,not_sufficient
7206,carrot_cake,498.7,6.9,61.5,20.1,1,near_spoiled,sufficient
6414,caesar_salad,331.5,6.3,47.4,19.5,3,near_spoiled,sufficient
34047,ice_cream,626.5,0.4,42.8,8.1,4,fine,sufficient
12729,chicken_wings,210.6,4.7,76.9,3.0,2,fine,not_sufficient
6926,caesar_salad,410.6,9.0,64.8,18.9,3,spoiled,sufficient
27996,fried_rice,395.5,0.0,88.6,7.8,1,fine,sufficient
37613,nachos,544.0,4.6,88.9,4.3,7,spoiled,sufficient
39484,onion_rings,291.9,6.3,57.4,4.0,5,near_spoiled,not_sufficient
3017,beef_salad,305.8,3.2,80.5,18.1,2,near_spoiled,sufficient
1641,baklava,266.3,4.5,42.3,6.0,0,fine,not_sufficient
8884,ceviche,314.8,4.0,51.2,3.0,1,fine,sufficient
37602,nachos,469.3,5.3,64.0,6.3,3,fine,sufficient
12970,chicken_wings,452.2,5.6,74.4,6.6,3,fine,sufficient
23464,french_fries,390.6,9.3,70.8,6.5,0,spoiled,sufficient
15758,cup_cakes,435.2,9.2,66.7,4.1,3,spoiled,sufficient
44077,sashimi,357.3,2.9,42.6,4.8,7,spoiled,sufficient
4087,bread_pudding,309.1,3.0,31.2,3.6,3,fine,sufficient
509,apple-pie,310.4,2.2,71.0,20.8,7,spoiled,sufficient
6355,caesar_salad,185.6,5.2,55.3,23.0,1,near_spoiled,not_sufficient
29645,greek_salad,490.7,5.6,73.2,14.6,0,fine,sufficient
20816,falafel,468.9,4.7,63.4,3.1,6,near_spoiled,sufficient
6235,caesar_salad,294.6,5.9,57.8,20.6,2,near_spoiled,not_sufficient
31990,hot_and_sour_soup,462.1,6.9,56.1,2.4,1,near_spoiled,sufficient
12996,chicken_wings,76.4,4.6,72.5,6.1,6,near_spoiled,not_sufficient
42502,ramen,257.7,6.4,55.2,6.4,7,spoiled,not_sufficient
38921,omelette,316.1,7.4,61.5,7.0,3,near_spoiled,sufficient
263,apple-pie,455.6,5.7,88.8,26.3,6,spoiled,sufficient
7892,carrot_cake,379.4,5.9,27.8,17.7,5,near_spoiled,sufficient
10528,cheesecake,215.5,2.1,50.1,4.4,3,fine,not_sufficient
18601,dumplings,399.4,4.1,68.4,5.1,3,fine,sufficient
24115,french_onion_soup,265.8,4.9,41.4,5.1,0,fine,not_sufficient
33499,hummus,383.8,4.0,54.3,8.6,5,near_spoiled,sufficient
13472,chocolate_cake,361.8,5.6,65.0,4.2,7,spoiled,sufficient
31726,hot_and_sour_soup,369.1,0.0,80.0,3.7,2,fine,sufficient
23691,french_fries,471.1,6.7,57.8,5.1,6,near_spoiled,sufficient
10558,cheesecake,269.0,3.2,34.8,3.3,7,spoiled,not_sufficient
6557,caesar_salad,269.7,4.5,51.2,20.1,1,near_spoiled,not_sufficient
45578,seaweed_salad,311.2,7.4,61.1,21.4,1,near_spoiled,sufficient
41504,pizza,425.1,4.4,43.8,5.7,5,near_spoiled,sufficient
27873,fried_rice,237.3,5.3,63.6,5.4,2,fine,not_sufficient
10811,cheesecake,377.3,3.7,46.6,4.7,4,fine,sufficient
38215,omelette,325.3,3.8,65.6,7.0,4,fine,sufficient
11731,chicken_curry,116.8,3.6,59.6,3.6,4,fine,not_sufficient
27439,fried_rice,473.9,5.8,65.3,3.0,4,fine,sufficient
21780,filet_mignon,426.8,6.0,40.4,4.9,3,fine,sufficient
34080,ice_cream,415.7,0.7,60.4,8.7,4,fine,sufficient
22916,fish_and_chips,374.2,3.7,75.6,1.5,6,near_spoiled,sufficient
8086,ceviche,248.3,6.1,34.5,5.5,2,near_spoiled,not_sufficient
43468,risotto,311.5,1.6,55.6,2.8,5,near_spoiled,sufficient
14710,creme_brulee,252.3,1.9,50.5,3.1,2,fine,not_sufficient
15467,cup_cakes,447.9,7.0,58.9,10.2,7,spoiled,sufficient
37173,nachos,326.7,4.7,62.7,2.2,3,fine,sufficient
28749,garlic_bread,392.0,5.1,32.4,4.6,2,fine,sufficient
3105,beef_salad,314.6,3.3,74.3,29.2,0,spoiled,sufficient
709,apple-pie,467.4,2.0,68.1,17.3,7,spoiled,sufficient
38386,omelette,389.8,4.3,64.7,4.3,5,near_spoiled,sufficient
23445,french_fries,403.7,5.0,63.8,4.8,6,near_spoiled,sufficient
26511,fried_calamari,379.5,6.2,48.2,4.3,0,near_spoiled,sufficient
8467,ceviche,216.6,3.6,44.8,7.7,1,fine,not_sufficient
6231,caesar_salad,454.8,2.6,72.4,20.4,3,near_spoiled,sufficient
46359,spaghetti_carbonara,484.3,4.0,51.5,8.8,7,spoiled,sufficient
39358,onion_rings,447.0,8.3,26.7,2.5,4,spoiled,sufficient
16387,deviled_eggs,351.3,5.2,67.0,3.0,0,fine,sufficient
34166,ice_cream,389.3,1.0,72.0,4.6,0,fine,sufficient
4169,bread_pudding,262.9,3.6,40.3,5.3,0,fine,not_sufficient
5804,breakfast_burrito,318.2,3.8,47.2,6.0,3,fine,sufficient
12754,chicken_wings,244.9,2.8,61.1,5.0,3,fine,not_sufficient
2190,beef_carpaccio,394.5,5.0,71.9,8.6,7,spoiled,sufficient
12188,chicken_wings,247.4,5.8,45.9,5.0,3,fine,not_sufficient
31728,hot_and_sour_soup,334.4,5.5,68.6,3.6,5,near_spoiled,sufficient
19246,edamame,338.3,3.9,58.0,6.0,6,near_spoiled,sufficient
37867,nachos,481.4,4.4,61.9,4.7,5,near_spoiled,sufficient
