index,food_type,class_index,weight_g,temperature_C,humidity_%,gas_ppm,days_since_added,condition,sufficient
13414,chocolate_cake,13,555.4,6.9,58.6,5.5,0,near_spoiled,sufficient
6721,caesar_salad,6,365.5,4.6,48.4,27.8,1,spoiled,sufficient
15602,cup_cakes,15,365.7,5.2,65.0,5.8,1,fine,sufficient
44744,sashimi,44,447.0,4.8,88.8,3.7,4,fine,sufficient
31139,hot_and_sour_soup,31,195.9,6.1,69.1,6.0,4,near_spoiled,not_sufficient
2730,beef_carpaccio,2,400.3,3.1,76.5,8.2,4,fine,sufficient
38243,omelette,38,444.7,1.6,75.3,4.8,1,fine,sufficient
29626,greek_salad,29,299.4,4.4,64.4,18.8,1,near_spoiled,not_sufficient
47895,strawberry_shortcake,47,374.3,5.4,92.3,1.7,6,near_spoiled,sufficient
42091,ramen,42,316.6,4.2,45.4,2.7,6,near_spoiled,sufficient
36400,macaroni_and_cheese,36,348.0,6.7,68.2,1.4,0,near_spoiled,sufficient
6245,caesar_salad,6,124.8,3.9,65.3,17.2,2,near_spoiled,not_sufficient
5546,breakfast_burrito,5,246.3,7.4,41.9,7.8,5,near_spoiled,not_sufficient
4065,bread_pudding,4,485.9,4.6,42.7,0.8,2,fine,sufficient
12852,chicken_wings,12,488.0,3.5,80.1,4.8,2,fine,sufficient
21803,filet_mignon,21,267.8,5.1,33.5,3.2,2,fine,not_sufficient
41164,pizza,41,386.4,4.8,37.9,3.6,0,fine,sufficient
6233,caesar_salad,6,331.9,4.5,78.6,25.2,0,spoiled,sufficient
3863,beef_salad,3,379.1,3.1,55.7,21.1,2,near_spoiled,sufficient
35095,lobster_roll_sandwich,35,437.0,3.8,53.5,4.7,4,fine,sufficient
40196,pancakes,40,171.5,5.8,74.4,5.8,3,fine,not_sufficient
39251,onion_rings,39,334.3,5.3,84.0,6.1,0,fine,sufficient
6218,caesar_salad,6,246.6,5.0,54.8,20.7,3,near_spoiled,not_sufficient
36776,macaroni_and_cheese,36,396.9,4.3,84.9,4.6,0,fine,sufficient
42977,ramen,42,355.8,5.7,59.4,4.5,1,fine,sufficient
48468,sushi,48,342.1,3.7,76.4,6.5,0,fine,sufficient
14832,creme_brulee,14,230.1,1.3,69.3,4.6,6,near_spoiled,not_sufficient
30093,grilled_salmon,30,332.7,3.4,74.9,2.5,7,spoiled,sufficient
8894,ceviche,8,422.2,4.9,60.0,2.0,3,fine,sufficient
6021,caesar_salad,6,322.0,2.5,68.9,14.8,3,fine,sufficient
46089,spaghetti_carbonara,46,231.0,2.7,32.6,4.0,2,fine,not_sufficient
15243,cup_cakes,15,208.7,3.7,58.3,9.1,0,fine,not_sufficient
45308,seaweed_salad,45,401.1,5.2,51.1,18.7,1,near_spoiled,sufficient
26551,fried_calamari,26,231.5,5.2,51.4,5.1,1,fine,not_sufficient
6035,caesar_salad,6,382.8,6.2,73.7,11.4,0,near_spoiled,sufficient
7906,carrot_cake,7,399.7,8.7,56.5,24.8,1,spoiled,sufficient
32226,hot_dog,32,520.9,7.2,61.3,5.7,3,near_spoiled,sufficient
6018,caesar_salad,6,232.9,8.3,57.5,8.4,1,spoiled,not_sufficient
21880,filet_mignon,21,454.8,5.5,81.8,2.5,2,fine,sufficient
2792,beef_carpaccio,2,330.4,8.1,63.7,5.2,6,spoiled,sufficient
42606,ramen,42,317.8,3.1,69.8,4.7,6,near_spoiled,sufficient
5824,breakfast_burrito,5,348.5,5.4,64.9,3.9,4,fine,sufficient
15388,cup_cakes,15,211.1,2.3,57.2,8.7,3,fine,not_sufficient
29562,greek_salad,29,445.7,2.6,40.8,19.4,1,near_spoiled,sufficient
39476,onion_rings,39,239.0,3.0,47.5,3.0,6,near_spoiled,not_sufficient
293,apple-pie,0,441.2,7.6,55.2,21.1,0,near_spoiled,sufficient
16958,deviled_eggs,16,301.8,5.0,47.3,6.1,5,near_spoiled,sufficient
30861,grilled_salmon,30,299.6,3.3,33.6,3.9,2,fine,not_sufficient
14074,creme_brulee,14,228.7,0.0,68.6,4.9,6,near_spoiled,not_sufficient
21857,filet_mignon,21,164.6,6.0,73.3,1.1,0,fine,not_sufficient
22080,fish_and_chips,22,507.4,4.1,71.1,3.9,6,near_spoiled,sufficient
17024,donuts,17,318.5,1.9,45.8,6.7,2,fine,sufficient
8740,ceviche,8,261.1,4.6,42.2,6.6,1,fine,not_sufficient
15826,cup_cakes,15,254.8,4.2,67.6,7.6,1,fine,not_sufficient
2742,beef_carpaccio,2,261.9,7.2,78.0,9.7,1,near_spoiled,not_sufficient
18049,dumplings,18,444.1,4.1,65.2,18.6,4,near_spoiled,sufficient
49937,waffles,49,417.5,5.4,58.1,5.8,4,fine,sufficient
17373,donuts,17,390.8,7.0,49.2,6.5,3,near_spoiled,sufficient
22022,fish_and_chips,22,441.8,4.1,67.9,6.8,7,spoiled,sufficient
46365,spaghetti_carbonara,46,274.2,4.3,20.0,3.9,5,near_spoiled,not_sufficient
23538,french_fries,23,324.5,7.5,72.3,5.8,7,spoiled,sufficient
45500,seaweed_salad,45,227.4,2.3,63.2,24.9,3,near_spoiled,not_sufficient
40186,pancakes,40,298.9,7.6,57.4,4.7,4,near_spoiled,not_sufficient
9614,cheese_plate,9,280.8,5.2,50.8,7.2,0,fine,not_sufficient
43282,risotto,43,123.8,3.7,63.2,3.3,6,near_spoiled,not_sufficient
37892,nachos,37,126.9,4.4,76.1,5.8,3,fine,not_sufficient
26179,fried_calamari,26,309.8,4.4,52.4,1.8,4,fine,sufficient
45893,seaweed_salad,45,363.1,3.5,75.4,11.8,0,fine,sufficient
20934,falafel,20,391.8,3.5,63.1,7.4,2,fine,sufficient
40972,pancakes,40,327.3,6.3,55.4,3.0,0,near_spoiled,sufficient
22225,fish_and_chips,22,544.7,5.2,28.5,6.3,5,near_spoiled,sufficient
24382,french_onion_soup,24,350.8,4.7,53.8,3.5,4,fine,sufficient
34856,ice_cream,34,230.6,2.7,62.9,5.9,1,fine,not_sufficient
48578,sushi,48,303.6,4.6,23.1,3.5,0,fine,sufficient
38537,omelette,38,475.8,7.5,64.0,4.8,1,near_spoiled,sufficient
31756,hot_and_sour_soup,31,518.1,5.3,82.9,5.6,3,fine,sufficient
7754,carrot_cake,7,349.5,7.0,56.1,17.8,3,near_spoiled,sufficient
46639,spaghetti_carbonara,46,134.9,6.7,76.9,5.8,6,near_spoiled,not_sufficient
43835,risotto,43,380.8,7.1,70.8,3.4,6,near_spoiled,sufficient
26236,fried_calamari,26,357.3,3.8,34.7,6.3,3,fine,sufficient
44230,sashimi,44,533.6,2.6,45.0,6.9,5,near_spoiled,sufficient
49597,waffles,49,415.7,7.7,46.2,2.9,2,near_spoiled,sufficient
18553,dumplings,18,412.8,1.0,56.1,18.7,5,near_spoiled,sufficient
43137,risotto,43,287.7,7.7,66.5,4.2,3,near_spoiled,not_sufficient
36673,macaroni_and_cheese,36,398.2,4.4,82.5,5.0,0,fine,sufficient
43650,risotto,43,261.0,4.2,68.3,4.7,5,near_spoiled,not_sufficient
3941,beef_salad,3,415.9,7.9,72.2,15.5,1,near_spoiled,sufficient
31497,hot_and_sour_soup,31,431.9,3.2,64.5,4.2,7,spoiled,sufficient
26594,fried_calamari,26,254.8,9.1,72.2,3.8,5,spoiled,not_sufficient
23922,french_fries,23,375.3,2.2,79.0,8.5,4,fine,sufficient
26403,fried_calamari,26,468.6,2.8,26.2,4.0,1,fine,sufficient
45943,seaweed_salad,45,272.9,3.7,57.8,14.7,0,fine,not_sufficient
48526,sushi,48,228.2,2.3,51.6,3.8,0,fine,not_sufficient
18316,dumplings,18,544.8,3.5,65.8,13.8,0,fine,sufficient
36894,macaroni_and_cheese,36,418.5,2.5,85.6,3.7,1,fine,sufficient
26696,fried_calamari,26,502.1,2.9,49.7,2.1,5,near_spoiled,sufficient
42128,ramen,42,293.1,5.1,35.0,2.3,3,fine,not_sufficient
14171,creme_brulee,14,330.3,2.4,50.1,4.1,7,spoiled,sufficient
3733,beef_salad,3,336.3,5.2,75.7,23.7,3,near_spoiled,sufficient
7882,carrot_cake,7,199.5,6.3,74.6,20.8,1,near_spoiled,not_sufficient
6017,caesar_salad,6,370.2,9.0,44.0,27.9,1,spoiled,sufficient
23030,french_fries,23,346.9,4.2,75.2,7.2,6,near_spoiled,sufficient
35474,lobster_roll_sandwich,35,381.0,4.0,66.2,4.2,3,fine,sufficient
49686,waffles,49,50.0,6.3,59.5,0.2,7,spoiled,not_sufficient
4818,bread_pudding,4,515.1,3.0,38.9,6.8,0,fine,sufficient
41694,pizza,41,392.9,6.9,34.0,5.3,1,near_spoiled,sufficient
12008,chicken_wings,12,345.1,4.6,72.8,9.2,6,near_spoiled,sufficient
41328,pizza,41,373.4,3.1,42.6,5.9,1,fine,sufficient
9507,cheese_plate,9,452.3,6.1,81.9,7.5,1,near_spoiled,sufficient
44799,sashimi,44,438.5,4.6,70.6,5.3,4,fine,sufficient
34063,ice_cream,34,416.4,1.8,52.7,6.3,6,near_spoiled,sufficient
27475,fried_rice,27,329.0,6.0,74.0,3.6,1,fine,sufficient
31144,hot_and_sour_soup,31,246.7,7.3,58.9,4.5,5,near_spoiled,not_sufficient
21236,filet_mignon,21,415.3,8.1,63.7,4.7,0,spoiled,sufficient
1391,baklava,1,404.9,1.7,38.1,2.8,2,fine,sufficient
38250,omelette,38,278.6,9.3,73.3,3.5,6,spoiled,not_sufficient
37625,nachos,37,517.0,8.4,25.3,2.3,7,spoiled,sufficient
42029,ramen,42,311.9,3.8,69.0,5.1,2,fine,sufficient
20835,falafel,20,361.7,10.0,71.6,1.2,3,spoiled,sufficient
14758,creme_brulee,14,386.3,1.6,45.2,4.1,3,fine,sufficient
26397,fried_calamari,26,321.8,3.4,48.2,5.6,5,near_spoiled,sufficient
6809,caesar_salad,6,405.7,5.0,60.8,22.1,0,near_spoiled,sufficient
9226,cheese_plate,9,321.2,6.9,78.9,2.9,7,spoiled,sufficient
48395,sushi,48,267.6,3.7,48.6,6.0,1,fine,not_sufficient
5396,breakfast_burrito,5,172.7,5.1,60.1,5.0,5,near_spoiled,not_sufficient
6944,caesar_salad,6,421.2,5.8,76.7,21.1,0,near_spoiled,sufficient
23871,french_fries,23,267.1,8.1,55.4,4.5,7,spoiled,not_sufficient
32493,hot_dog,32,228.4,6.1,52.9,4.4,4,near_spoiled,not_sufficient
36346,macaroni_and_cheese,36,365.0,10.0,76.3,4.3,0,spoiled,sufficient
10756,cheesecake,10,414.2,6.1,26.3,5.0,4,near_spoiled,sufficient
12302,chicken_wings,12,213.2,5.6,67.1,4.5,4,fine,not_sufficient
48387,sushi,48,421.6,4.3,46.8,7.0,1,fine,sufficient
42746,ramen,42,224.0,5.6,60.6,5.1,5,near_spoiled,not_sufficient
29090,greek_salad,29,182.7,1.9,62.8,19.7,1,near_spoiled,not_sufficient
44713,sashimi,44,368.0,5.1,49.1,5.3,7,spoiled,sufficient
14344,creme_brulee,14,257.9,2.4,64.6,3.1,6,near_spoiled,not_sufficient
38173,omelette,38,131.1,2.7,33.9,4.0,0,fine,not_sufficient
5072,breakfast_burrito,5,203.9,5.7,54.8,6.9,3,fine,not_sufficient
24122,french_onion_soup,24,409.4,3.5,55.6,4.2,2,fine,sufficient
48810,sushi,48,409.3,1.9,76.9,3.1,1,fine,sufficient
17821,donuts,17,219.9,5.8,33.7,8.3,3,fine,not_sufficient
1123,baklava,1,335.1,4.4,34.2,4.9,4,fine,sufficient
11265,chicken_curry,11,395.4,3.4,63.5,3.3,6,near_spoiled,sufficient
30580,grilled_salmon,30,428.1,5.5,54.0,4.5,2,fine,sufficient
45465,seaweed_salad,45,135.6,6.0,83.5,21.0,2,near_spoiled,not_sufficient
48217,sushi,48,535.7,3.7,75.4,2.4,1,fine,sufficient
43045,risotto,43,429.9,3.9,77.4,6.1,3,fine,sufficient
15657,cup_cakes,15,201.3,5.0,49.4,3.4,5,near_spoiled,not_sufficient
1901,baklava,1,298.0,5.0,41.2,1.4,1,fine,not_sufficient
148,apple-pie,0,371.0,8.1,79.1,24.6,3,spoiled,sufficient
29643,greek_salad,29,236.7,4.6,45.5,23.2,1,near_spoiled,not_sufficient
3212,beef_salad,3,568.2,8.4,77.5,11.1,2,spoiled,sufficient
43851,risotto,43,369.0,3.8,49.3,3.9,1,fine,sufficient
2355,beef_carpaccio,2,477.9,4.1,88.0,6.6,2,fine,sufficient
31521,hot_and_sour_soup,31,493.3,4.2,67.7,3.5,1,fine,sufficient
42584,ramen,42,327.8,3.9,64.0,7.6,7,spoiled,sufficient
43338,risotto,43,442.3,8.1,52.7,3.8,5,spoiled,sufficient
45285,seaweed_salad,45,334.9,5.2,72.4,26.6,2,spoiled,sufficient
46957,spaghetti_carbonara,46,271.3,4.3,68.6,5.1,2,fine,not_sufficient
48791,sushi,48,411.4,4.1,57.0,4.1,2,fine,sufficient
36586,macaroni_and_cheese,36,300.5,4.7,54.5,4.0,6,near_spoiled,sufficient
10466,cheesecake,10,369.6,6.8,71.2,2.1,3,near_spoiled,sufficient
7822,carrot_cake,7,446.5,6.0,69.9,22.0,2,near_spoiled,sufficient
7206,carrot_cake,7,269.3,3.7,64.5,25.2,5,spoiled,not_sufficient
6414,caesar_salad,6,483.8,6.3,46.4,26.7,3,spoiled,sufficient
34047,ice_cream,34,410.4,2.5,71.6,5.5,6,near_spoiled,sufficient
12729,chicken_wings,12,414.0,4.1,71.0,8.4,0,fine,sufficient
6926,caesar_salad,6,371.0,10.0,51.5,22.4,3,spoiled,sufficient
27996,fried_rice,27,349.2,3.0,32.1,7.5,1,fine,sufficient
37613,nachos,37,395.9,5.9,54.5,7.8,6,near_spoiled,sufficient
39484,onion_rings,39,503.5,5.0,56.2,1.7,2,fine,sufficient
3017,beef_salad,3,449.6,1.7,76.1,24.1,3,near_spoiled,sufficient
1641,baklava,1,248.4,3.7,51.5,6.7,4,fine,not_sufficient
8884,ceviche,8,406.0,3.6,35.7,7.4,3,fine,sufficient
37602,nachos,37,354.0,6.4,41.9,4.4,1,near_spoiled,sufficient
12970,chicken_wings,12,502.4,1.9,60.1,4.8,4,fine,sufficient
23464,french_fries,23,272.0,6.8,68.9,5.3,0,near_spoiled,not_sufficient
15758,cup_cakes,15,468.2,4.7,75.3,7.8,6,near_spoiled,sufficient
44077,sashimi,44,358.2,5.4,61.3,6.0,5,near_spoiled,sufficient
4087,bread_pudding,4,328.2,4.0,20.3,1.7,1,fine,sufficient
509,apple-pie,0,336.4,5.4,79.0,24.4,3,near_spoiled,sufficient
6355,caesar_salad,6,353.4,4.3,53.8,18.6,2,near_spoiled,sufficient
29645,greek_salad,29,278.3,4.5,46.5,8.3,3,fine,not_sufficient
20816,falafel,20,128.9,6.1,47.2,7.1,4,near_spoiled,not_sufficient
6235,caesar_salad,6,428.4,4.6,80.9,16.0,2,near_spoiled,sufficient
31990,hot_and_sour_soup,31,270.1,2.7,55.0,3.9,1,fine,not_sufficient
12996,chicken_wings,12,306.1,5.9,66.0,4.5,5,near_spoiled,sufficient
42502,ramen,42,345.3,5.5,52.0,7.8,6,near_spoiled,sufficient
38921,omelette,38,374.9,5.8,79.6,8.8,6,near_spoiled,sufficient
263,apple-pie,0,280.7,3.5,52.9,18.4,6,near_spoiled,not_sufficient
7892,carrot_cake,7,445.6,4.0,31.9,16.9,0,near_spoiled,sufficient
10528,cheesecake,10,188.3,4.0,48.0,4.7,6,near_spoiled,not_sufficient
18601,dumplings,18,418.5,7.3,65.0,20.6,1,near_spoiled,sufficient
24115,french_onion_soup,24,367.5,3.4,73.2,3.8,6,near_spoiled,sufficient
33499,hummus,33,432.4,5.0,31.5,3.1,5,near_spoiled,sufficient
13472,chocolate_cake,13,316.4,3.6,66.6,3.1,2,fine,sufficient
31726,hot_and_sour_soup,31,340.2,5.0,68.1,4.1,2,fine,sufficient
23691,french_fries,23,480.7,7.0,28.6,6.9,5,near_spoiled,sufficient
10558,cheesecake,10,340.0,4.9,77.8,3.7,3,fine,sufficient
6557,caesar_salad,6,340.0,7.3,53.5,21.1,3,near_spoiled,sufficient
45578,seaweed_salad,45,183.9,5.6,73.6,11.4,1,fine,not_sufficient
41504,pizza,41,537.0,3.3,45.7,4.7,5,near_spoiled,sufficient
27873,fried_rice,27,300.5,5.8,45.3,4.3,0,fine,sufficient
10811,cheesecake,10,373.3,4.0,46.7,0.7,7,spoiled,sufficient
38215,omelette,38,196.9,6.0,54.0,4.6,4,fine,not_sufficient
11731,chicken_curry,11,323.2,7.5,55.0,9.0,4,near_spoiled,sufficient
27439,fried_rice,27,340.2,3.6,65.0,8.5,0,fine,sufficient
21780,filet_mignon,21,433.6,4.7,94.1,4.6,2,fine,sufficient
34080,ice_cream,34,217.3,2.3,77.0,6.2,3,fine,not_sufficient
22916,fish_and_chips,22,372.4,3.8,68.4,3.7,2,fine,sufficient
8086,ceviche,8,334.0,3.6,70.5,10.7,0,fine,sufficient
43468,risotto,43,364.9,4.9,81.1,5.3,6,near_spoiled,sufficient
14710,creme_brulee,14,272.5,3.1,33.1,7.0,1,fine,not_sufficient
15467,cup_cakes,15,315.2,2.0,41.2,8.1,4,fine,sufficient
37173,nachos,37,599.8,3.8,48.3,1.1,7,spoiled,sufficient
28749,garlic_bread,28,330.1,5.2,41.6,9.0,5,near_spoiled,sufficient
3105,beef_salad,3,380.8,5.2,91.0,25.1,1,spoiled,sufficient
