food_type,temperature,humidity,gas_ppm,days_since_added,weight,amount_status,spoilage_status
hot_and_sour_soup,4.4,61.8,758,6.0,536.1,sufficient,spoiled
strawberry_shortcake,7.2,87.2,337,2.4,443.9,sufficient,near_spoiled
beef_carpaccio,2.1,81.8,362,3.8,183.4,not_sufficient,near_spoiled
sashimi,3.6,61.5,366,5.2,267.1,not_sufficient,near_spoiled
fried_calamari,3.9,71.7,200,3.2,261.0,not_sufficient,fine
chicken_curry,4.6,61.8,175,2.4,293.0,not_sufficient,fine
cheese_plate,1.7,87.0,140,4.0,547.0,sufficient,fine
onion_rings,5.7,73.9,164,1.3,230.7,not_sufficient,fine
deviled_eggs,5.9,81.1,152,3.0,334.2,sufficient,fine
beef_carpaccio,0.6,82.4,160,2.5,258.7,not_sufficient,fine
pancakes,4.3,88.0,395,4.3,486.2,sufficient,near_spoiled
onion_rings,2.9,62.9,253,2.8,188.1,not_sufficient,near_spoiled
french_fries,2.6,70.1,396,5.9,475.6,sufficient,near_spoiled
cheese_plate,2.9,67.7,354,5.1,316.7,sufficient,near_spoiled
filet_mignon,0.0,61.1,134,3.2,397.0,sufficient,fine
deviled_eggs,6.1,71.1,624,8.9,465.0,sufficient,spoiled
lobster_roll_sandwich,0.9,63.9,188,2.2,163.6,not_sufficient,fine
hot_dog,3.9,75.1,132,0.0,234.8,not_sufficient,fine
apple-pie,6.6,88.3,136,2.2,533.6,sufficient,fine
ice_cream,2.4,71.9,198,2.3,343.3,sufficient,fine
fried_rice,3.6,85.9,146,0.2,205.9,not_sufficient,fine
cup_cakes,6.9,84.9,186,1.4,129.6,not_sufficient,fine
sushi,5.7,68.8,102,3.3,268.4,not_sufficient,fine
fried_rice,4.3,79.1,147,0.0,513.5,sufficient,fine
lobster_roll_sandwich,3.0,81.5,190,0.3,218.3,not_sufficient,fine
breakfast_burrito,3.9,61.5,390,6.9,548.7,sufficient,near_spoiled
donuts,6.5,68.1,392,3.5,111.0,not_sufficient,near_spoiled
nachos,3.9,69.9,164,3.5,382.0,sufficient,fine
beef_carpaccio,0.9,72.3,181,0.0,116.8,not_sufficient,fine
french_onion_soup,4.3,67.7,261,4.1,248.0,not_sufficient,near_spoiled
macaroni_and_cheese,3.4,77.2,656,4.7,247.8,not_sufficient,spoiled
french_fries,3.3,82.4,125,2.7,507.6,sufficient,fine
beef_carpaccio,3.9,78.8,224,2.7,300.5,sufficient,near_spoiled
caesar_salad,3.2,67.7,119,1.2,443.1,sufficient,fine
omelette,2.6,70.9,141,3.2,293.7,not_sufficient,fine
deviled_eggs,4.8,61.7,225,4.4,558.3,sufficient,near_spoiled
seaweed_salad,3.3,84.6,357,5.0,221.9,not_sufficient,near_spoiled
waffles,9.2,82.8,383,4.3,249.9,not_sufficient,near_spoiled
edamame,4.3,87.0,310,3.8,248.7,not_sufficient,near_spoiled
omelette,5.1,89.8,353,5.5,466.1,sufficient,near_spoiled
cup_cakes,4.4,88.0,121,0.1,599.4,sufficient,fine
pancakes,8.9,64.6,196,1.1,307.2,sufficient,fine
french_onion_soup,4.2,70.5,357,3.9,206.2,not_sufficient,near_spoiled
filet_mignon,-1.0,60.6,186,3.5,198.9,not_sufficient,fine
dumplings,4.7,60.8,137,2.8,178.2,not_sufficient,fine
nachos,5.1,87.1,249,6.0,116.2,not_sufficient,near_spoiled
cup_cakes,5.4,89.7,129,0.6,540.7,sufficient,fine
french_fries,4.5,83.5,285,5.8,155.6,not_sufficient,near_spoiled
edamame,5.0,68.1,181,1.3,164.4,not_sufficient,fine
baklava,2.5,74.8,107,2.2,238.3,not_sufficient,fine
beef_carpaccio,3.1,63.9,321,3.1,538.0,sufficient,near_spoiled
baklava,2.0,82.1,111,0.6,334.9,sufficient,fine
hummus,4.1,69.2,257,2.6,392.9,sufficient,near_spoiled
nachos,5.8,80.9,256,6.8,343.4,sufficient,near_spoiled
strawberry_shortcake,6.0,65.2,182,1.4,163.5,not_sufficient,fine
deviled_eggs,4.3,70.4,174,0.0,292.5,not_sufficient,fine
nachos,7.1,80.3,310,7.0,222.9,not_sufficient,near_spoiled
baklava,5.8,64.8,175,2.6,373.9,sufficient,fine
carrot_cake,6.8,86.3,364,1.8,170.9,not_sufficient,near_spoiled
breakfast_burrito,5.5,84.2,117,3.8,123.2,not_sufficient,fine
fish_and_chips,1.2,83.3,200,5.4,505.3,sufficient,near_spoiled
garlic_bread,4.1,78.3,196,0.0,366.1,sufficient,fine
baklava,5.3,75.2,359,4.1,256.0,not_sufficient,near_spoiled
cheececake,4.8,64.2,111,4.2,218.8,not_sufficient,fine
cup_cakes,4.7,83.0,122,2.5,191.5,not_sufficient,fine
lobster_roll_sandwich,-0.5,75.4,322,4.3,486.7,sufficient,near_spoiled
ramen,7.4,65.1,136,2.7,386.6,sufficient,fine
edamame,6.8,70.0,105,2.6,516.8,sufficient,fine
deviled_eggs,5.3,69.5,121,3.2,294.3,not_sufficient,fine
macaroni_and_cheese,0.8,74.4,233,1.6,345.6,sufficient,near_spoiled
spaghetti_carbonara,5.1,60.9,286,6.7,162.5,not_sufficient,near_spoiled
french_onion_soup,3.7,63.7,214,2.6,331.2,sufficient,near_spoiled
nachos,7.6,82.1,107,4.0,443.3,sufficient,fine
grilled_salmon,2.1,78.4,472,3.6,421.2,sufficient,spoiled
caesar_salad,2.4,75.8,374,3.3,115.8,not_sufficient,near_spoiled
cheececake,2.7,80.8,149,4.7,282.7,not_sufficient,fine
donuts,4.3,72.9,266,3.7,239.4,not_sufficient,near_spoiled
cheececake,4.3,80.1,391,5.4,560.0,sufficient,near_spoiled
creme_brulee,5.5,73.7,283,5.7,157.2,not_sufficient,near_spoiled
cup_cakes,5.5,78.0,121,0.9,230.9,not_sufficient,fine
french_onion_soup,3.4,61.7,123,1.8,224.2,not_sufficient,fine
chocolate_cake,8.8,62.9,132,2.9,387.6,sufficient,fine
chicken_wings,2.3,79.4,242,5.3,283.9,not_sufficient,near_spoiled
bread_pudding,8.0,80.6,127,1.5,395.2,sufficient,fine
omelette,3.3,65.4,120,1.5,526.8,sufficient,fine
cup_cakes,2.0,74.3,108,0.0,136.5,not_sufficient,fine
lobster_roll_sandwich,3.0,88.5,648,5.6,546.3,sufficient,spoiled
seaweed_salad,3.1,75.6,226,3.7,147.9,not_sufficient,near_spoiled
garlic_bread,5.8,74.8,395,5.0,369.8,sufficient,near_spoiled
spaghetti_carbonara,5.0,78.6,370,5.5,296.1,not_sufficient,near_spoiled
sushi,6.0,79.8,121,5.0,117.0,not_sufficient,fine
pancakes,6.7,69.5,112,1.9,184.7,not_sufficient,fine
ceviche,4.0,89.6,195,4.3,292.5,not_sufficient,fine
strawberry_shortcake,6.7,78.7,654,4.3,250.2,not_sufficient,spoiled
french_toast,5.5,66.2,160,2.2,172.3,not_sufficient,fine
cheececake,3.4,61.8,156,2.3,521.8,sufficient,fine
sashimi,0.4,66.3,189,4.5,413.4,sufficient,fine
sushi,4.0,81.5,193,5.0,518.1,sufficient,fine
ramen,4.7,88.6,120,3.2,351.2,sufficient,fine
hot_dog,0.5,87.1,128,0.0,360.3,sufficient,fine
grilled_salmon,4.2,71.0,171,0.7,156.7,not_sufficient,fine
ice_cream,0.1,67.9,347,7.7,536.7,sufficient,near_spoiled
onion_rings,5.9,64.8,662,6.8,446.4,sufficient,spoiled
hummus,3.9,66.3,214,2.9,121.7,not_sufficient,near_spoiled
dumplings,2.8,63.7,334,3.6,162.5,not_sufficient,near_spoiled
edamame,4.5,81.2,178,2.1,350.9,sufficient,fine
fried_calamari,2.6,76.8,133,2.0,462.4,sufficient,fine
fried_rice,6.1,65.6,626,6.4,168.6,not_sufficient,spoiled
caesar_salad,1.7,84.6,107,2.1,105.7,not_sufficient,fine
chocolate_cake,6.8,71.2,297,4.9,391.2,sufficient,near_spoiled
hot_and_sour_soup,3.9,67.8,160,0.0,428.5,sufficient,fine
french_fries,5.1,63.9,322,7.6,537.1,sufficient,near_spoiled
grilled_salmon,2.1,81.7,128,0.0,224.5,not_sufficient,fine
deviled_eggs,6.5,75.4,172,2.9,262.2,not_sufficient,fine
spaghetti_carbonara,5.0,61.5,339,4.5,150.3,not_sufficient,near_spoiled
apple-pie,5.0,72.1,112,2.5,368.2,sufficient,fine
sushi,3.7,69.2,190,4.5,221.3,not_sufficient,fine
sashimi,0.1,64.1,159,4.5,240.1,not_sufficient,fine
spaghetti_carbonara,3.5,63.4,336,4.4,502.9,sufficient,near_spoiled
cheese_plate,3.0,81.8,179,4.7,412.0,sufficient,fine
seaweed_salad,6.0,80.9,386,4.7,200.3,not_sufficient,near_spoiled
grilled_salmon,2.6,71.5,102,1.3,129.1,not_sufficient,fine
carrot_cake,4.2,69.1,155,0.0,373.4,sufficient,fine
ice_cream,4.6,73.4,307,8.3,149.3,not_sufficient,near_spoiled
fish_and_chips,4.6,75.0,314,6.1,530.8,sufficient,near_spoiled
dumplings,4.9,84.8,196,2.3,450.3,sufficient,fine
dumplings,4.6,76.1,107,2.5,195.0,not_sufficient,fine
greek_salad,6.3,72.8,791,3.4,494.8,sufficient,spoiled
deviled_eggs,7.5,70.3,362,4.3,449.8,sufficient,near_spoiled
ramen,3.9,81.7,261,3.8,178.6,not_sufficient,near_spoiled
french_fries,4.9,66.8,257,8.4,164.0,not_sufficient,near_spoiled
pancakes,8.0,90.0,123,2.0,194.0,not_sufficient,fine
sushi,4.6,78.6,228,6.8,163.5,not_sufficient,near_spoiled
omelette,5.7,82.9,337,4.9,131.9,not_sufficient,near_spoiled
beef_carpaccio,3.3,62.0,246,3.6,318.4,sufficient,near_spoiled
waffles,6.4,89.7,355,4.5,295.4,not_sufficient,near_spoiled
bread_pudding,7.9,72.8,706,3.2,575.7,sufficient,spoiled
sashimi,-1.1,85.8,138,2.7,566.5,sufficient,fine
hot_and_sour_soup,3.9,80.6,525,4.2,407.3,sufficient,spoiled
fried_calamari,3.5,74.5,193,1.0,453.6,sufficient,fine
caesar_salad,3.4,63.8,151,1.8,511.2,sufficient,fine
ceviche,1.0,77.4,202,6.5,109.4,not_sufficient,near_spoiled
creme_brulee,6.2,68.0,132,4.6,145.6,not_sufficient,fine
french_fries,4.9,67.0,106,4.0,303.8,sufficient,fine
breakfast_burrito,5.1,61.6,118,1.7,525.1,sufficient,fine
strawberry_shortcake,5.3,61.5,165,0.7,471.0,sufficient,fine
risotto,7.0,81.7,217,8.0,580.4,sufficient,near_spoiled
macaroni_and_cheese,3.4,69.9,141,1.4,433.9,sufficient,fine
waffles,2.0,60.6,126,0.2,453.4,sufficient,fine
ice_cream,3.4,66.0,340,5.5,428.3,sufficient,near_spoiled
creme_brulee,5.2,60.6,151,2.7,598.3,sufficient,fine
fried_rice,3.4,84.5,277,4.4,138.4,not_sufficient,near_spoiled
waffles,4.6,76.2,385,3.6,339.5,sufficient,near_spoiled
fried_rice,4.4,75.1,259,3.2,203.4,not_sufficient,near_spoiled
cup_cakes,6.1,75.8,100,1.2,385.2,sufficient,fine
waffles,5.4,72.5,160,1.6,118.8,not_sufficient,fine
chicken_curry,4.0,62.0,135,1.8,357.5,sufficient,fine
baklava,6.3,75.3,132,3.3,490.5,sufficient,fine
cheececake,4.1,60.9,121,0.0,292.7,not_sufficient,fine
french_fries,1.8,72.1,246,9.9,343.0,sufficient,near_spoiled
chocolate_cake,5.5,83.7,128,3.3,505.9,sufficient,fine
carrot_cake,4.1,87.8,297,2.9,532.7,sufficient,near_spoiled
chicken_curry,2.4,73.9,156,3.2,217.5,not_sufficient,fine
onion_rings,3.5,87.6,112,2.3,319.8,sufficient,fine
strawberry_shortcake,9.0,64.1,372,2.4,357.9,sufficient,near_spoiled
fish_and_chips,3.3,87.1,175,0.1,153.6,not_sufficient,fine
breakfast_burrito,4.3,87.6,192,1.8,224.9,not_sufficient,fine
cheececake,4.2,80.9,156,2.5,580.1,sufficient,fine
deviled_eggs,4.9,77.1,114,2.6,587.5,sufficient,fine
beef_salad,2.4,88.1,212,3.8,355.4,sufficient,near_spoiled
creme_brulee,6.2,86.6,392,5.8,590.2,sufficient,near_spoiled
fried_calamari,0.8,62.9,710,7.6,568.7,sufficient,spoiled
chicken_curry,1.5,77.8,204,6.0,188.5,not_sufficient,near_spoiled
chocolate_cake,5.4,79.3,400,5.4,216.1,not_sufficient,near_spoiled
breakfast_burrito,5.9,76.1,246,5.2,222.0,not_sufficient,near_spoiled
carrot_cake,7.0,72.1,118,0.8,482.7,sufficient,fine
onion_rings,5.0,79.0,280,3.0,229.8,not_sufficient,near_spoiled
beef_salad,2.1,68.1,109,0.5,413.9,sufficient,fine
creme_brulee,1.8,63.5,338,8.2,354.2,sufficient,near_spoiled
apple-pie,6.5,75.6,244,3.1,238.5,not_sufficient,near_spoiled
filet_mignon,0.0,77.2,338,5.5,404.5,sufficient,near_spoiled
edamame,2.0,65.0,172,1.4,160.5,not_sufficient,fine
deviled_eggs,5.2,61.5,147,0.3,181.2,not_sufficient,fine
spaghetti_carbonara,7.2,81.8,160,2.3,241.9,not_sufficient,fine
edamame,2.5,76.7,306,4.8,248.5,not_sufficient,near_spoiled
grilled_salmon,-0.5,69.2,516,3.2,431.0,sufficient,spoiled
french_onion_soup,2.1,81.1,257,3.1,361.1,sufficient,near_spoiled
greek_salad,2.0,87.6,500,4.6,521.1,sufficient,spoiled
lobster_roll_sandwich,0.0,68.2,167,2.5,392.9,sufficient,fine
omelette,6.3,62.3,146,2.2,494.3,sufficient,fine
donuts,7.1,76.0,188,0.6,492.3,sufficient,fine
chicken_wings,1.6,79.2,299,7.1,549.2,sufficient,near_spoiled
filet_mignon,-0.3,66.1,127,3.0,449.2,sufficient,fine
apple-pie,6.0,68.7,238,4.1,371.0,sufficient,near_spoiled
hummus,5.5,67.3,197,1.6,117.0,not_sufficient,fine
dumplings,4.7,70.0,215,5.7,479.2,sufficient,near_spoiled
hot_dog,-1.8,64.5,324,1.8,554.8,sufficient,near_spoiled
grilled_salmon,2.6,84.0,152,1.0,124.1,not_sufficient,fine
grilled_salmon,1.3,88.9,184,0.1,186.8,not_sufficient,fine
french_onion_soup,3.5,67.4,147,1.5,112.9,not_sufficient,fine
onion_rings,3.6,72.1,339,3.8,381.6,sufficient,near_spoiled
grilled_salmon,1.4,60.3,113,1.2,280.6,not_sufficient,fine
donuts,6.6,60.6,162,2.5,521.0,sufficient,fine
omelette,4.9,86.6,114,1.4,520.2,sufficient,fine
waffles,6.3,73.8,287,4.3,169.4,not_sufficient,near_spoiled
cup_cakes,7.0,71.9,149,0.0,589.3,sufficient,fine
caesar_salad,2.4,64.9,310,3.2,312.5,sufficient,near_spoiled
greek_salad,0.9,85.0,376,2.2,391.0,sufficient,near_spoiled
bread_pudding,3.9,63.9,226,2.0,557.7,sufficient,near_spoiled
sushi,1.8,86.1,192,4.2,540.4,sufficient,fine
creme_brulee,5.1,82.7,150,3.1,144.1,not_sufficient,fine
onion_rings,2.0,86.2,168,0.0,167.6,not_sufficient,fine
pancakes,4.5,80.8,360,5.0,105.5,not_sufficient,near_spoiled
falafel,3.4,69.7,624,3.8,179.1,not_sufficient,spoiled
garlic_bread,4.5,64.8,121,0.0,556.6,sufficient,fine
ceviche,-0.7,68.7,177,2.5,365.8,sufficient,fine
ice_cream,5.3,88.1,112,2.4,205.9,not_sufficient,fine
carrot_cake,5.0,72.7,126,0.4,552.5,sufficient,fine
omelette,1.9,75.5,238,3.6,419.9,sufficient,near_spoiled
ceviche,1.5,72.7,359,6.0,182.3,not_sufficient,near_spoiled
cheese_plate,4.6,67.6,389,7.3,389.1,sufficient,near_spoiled
baklava,8.8,63.7,147,3.5,146.1,not_sufficient,fine
garlic_bread,3.4,82.7,333,3.4,426.6,sufficient,near_spoiled
hot_dog,1.3,72.8,108,0.5,319.8,sufficient,fine
sushi,1.9,88.5,377,5.6,352.9,sufficient,near_spoiled
garlic_bread,3.9,63.5,200,1.4,232.2,not_sufficient,fine
edamame,6.3,64.6,200,0.0,209.4,not_sufficient,fine
french_toast,7.6,76.3,784,5.1,220.9,not_sufficient,spoiled
pancakes,5.8,64.3,385,4.3,234.3,not_sufficient,near_spoiled
baklava,4.8,76.9,366,4.0,116.4,not_sufficient,near_spoiled
deviled_eggs,7.1,76.2,317,3.9,225.0,not_sufficient,near_spoiled
beef_carpaccio,2.8,84.0,161,1.0,288.4,not_sufficient,fine
filet_mignon,0.6,64.4,160,1.6,342.8,sufficient,fine
cheese_plate,2.8,62.7,116,3.2,167.2,not_sufficient,fine
breakfast_burrito,2.9,87.8,327,7.5,317.8,sufficient,near_spoiled
creme_brulee,6.6,82.7,293,9.4,312.7,sufficient,near_spoiled
filet_mignon,4.5,87.1,188,2.0,301.0,sufficient,fine
hummus,3.2,82.7,480,6.0,275.8,not_sufficient,spoiled
macaroni_and_cheese,4.0,82.1,109,0.5,287.9,not_sufficient,fine
seaweed_salad,3.9,76.9,604,9.7,110.2,not_sufficient,spoiled
ceviche,3.9,79.6,200,4.7,323.5,sufficient,fine
pizza,3.2,64.7,300,6.4,591.0,sufficient,near_spoiled
deviled_eggs,7.8,86.7,144,2.4,412.5,sufficient,fine
cheececake,3.7,79.8,230,6.7,199.9,not_sufficient,near_spoiled
baklava,2.8,71.7,159,2.7,500.9,sufficient,fine
onion_rings,3.7,75.9,113,2.5,104.8,not_sufficient,fine
ceviche,1.7,69.4,125,3.2,251.7,not_sufficient,fine
apple-pie,5.7,80.4,157,0.7,450.4,sufficient,fine
fish_and_chips,4.0,70.8,273,5.8,204.1,not_sufficient,near_spoiled
spaghetti_carbonara,2.1,65.0,389,3.9,476.5,sufficient,near_spoiled
cup_cakes,5.6,68.7,420,5.9,557.4,sufficient,spoiled
falafel,3.3,72.7,274,1.8,435.3,sufficient,near_spoiled
fried_rice,5.6,82.1,123,1.0,129.3,not_sufficient,fine
spaghetti_carbonara,5.1,60.2,387,3.9,517.2,sufficient,near_spoiled
ceviche,1.0,81.3,102,3.7,334.3,sufficient,fine
grilled_salmon,3.1,64.4,430,3.8,118.6,not_sufficient,spoiled
garlic_bread,1.0,86.0,108,0.9,253.5,not_sufficient,fine
fish_and_chips,6.2,89.7,128,3.7,326.2,sufficient,fine
fish_and_chips,4.4,63.5,100,4.7,523.2,sufficient,fine
pizza,5.7,75.5,199,3.3,441.9,sufficient,fine
fried_calamari,3.1,87.7,186,1.5,145.9,not_sufficient,fine
omelette,4.4,88.5,187,2.3,152.1,not_sufficient,fine
cheececake,3.1,70.6,247,6.9,146.6,not_sufficient,near_spoiled
carrot_cake,5.8,78.7,719,4.5,217.4,not_sufficient,spoiled
pancakes,4.8,81.0,342,4.3,532.6,sufficient,near_spoiled
pizza,2.2,73.4,337,6.7,268.1,not_sufficient,near_spoiled
omelette,3.9,87.5,263,3.6,398.0,sufficient,near_spoiled
hummus,6.3,60.2,139,1.8,106.2,not_sufficient,fine
dumplings,2.2,83.7,192,3.2,395.5,sufficient,fine
pizza,5.8,82.8,176,0.6,216.7,not_sufficient,fine
grilled_salmon,-1.5,89.6,150,0.5,420.7,sufficient,fine
pizza,2.7,61.2,161,0.0,480.3,sufficient,fine
cheese_plate,2.2,61.2,156,4.9,315.2,sufficient,fine
garlic_bread,6.4,64.3,328,3.2,132.5,not_sufficient,near_spoiled
fried_calamari,1.2,65.9,255,4.3,414.8,sufficient,near_spoiled
bread_pudding,7.4,63.2,192,0.0,379.9,sufficient,fine
spaghetti_carbonara,4.5,71.5,130,3.2,368.0,sufficient,fine
cheese_plate,-0.0,85.7,330,8.9,254.8,not_sufficient,near_spoiled
onion_rings,3.5,82.1,135,0.0,235.9,not_sufficient,fine
bread_pudding,5.5,74.4,190,0.0,262.1,not_sufficient,fine
strawberry_shortcake,4.9,78.6,363,1.6,160.9,not_sufficient,near_spoiled
beef_carpaccio,1.5,62.7,143,1.1,332.5,sufficient,fine
sushi,4.2,76.9,353,5.5,358.7,sufficient,near_spoiled
bread_pudding,7.2,75.0,628,3.2,415.4,sufficient,spoiled
breakfast_burrito,5.8,87.1,223,7.4,428.6,sufficient,near_spoiled
grilled_salmon,0.7,77.2,186,0.0,227.5,not_sufficient,fine
creme_brulee,5.6,86.4,382,5.2,598.6,sufficient,near_spoiled
bread_pudding,6.2,67.1,571,4.5,397.8,sufficient,spoiled
cup_cakes,7.2,85.5,264,4.4,116.6,not_sufficient,near_spoiled
falafel,3.6,66.9,100,1.5,530.0,sufficient,fine
nachos,5.6,87.0,348,5.2,341.4,sufficient,near_spoiled
french_fries,5.9,75.9,208,5.2,535.4,sufficient,near_spoiled
cheese_plate,3.7,87.8,355,6.0,304.3,sufficient,near_spoiled
pizza,2.3,80.3,294,3.6,511.6,sufficient,near_spoiled
greek_salad,2.8,62.2,100,0.2,356.9,sufficient,fine
lobster_roll_sandwich,0.8,88.2,176,2.4,368.2,sufficient,fine
french_toast,5.6,75.3,222,3.0,436.2,sufficient,near_spoiled
garlic_bread,2.5,82.1,219,3.5,136.6,not_sufficient,near_spoiled
dumplings,6.3,68.2,357,6.0,221.7,not_sufficient,near_spoiled
beef_carpaccio,0.4,88.6,234,4.2,598.1,sufficient,near_spoiled
fried_rice,5.4,83.3,289,2.8,193.7,not_sufficient,near_spoiled
pancakes,4.2,81.7,314,3.8,480.6,sufficient,near_spoiled
breakfast_burrito,5.2,84.5,168,3.4,347.8,sufficient,fine
pizza,3.0,60.2,608,8.2,212.3,not_sufficient,spoiled
macaroni_and_cheese,2.0,79.9,165,0.0,135.8,not_sufficient,fine
baklava,4.1,80.5,156,1.0,127.1,not_sufficient,fine
sushi,4.6,77.4,155,4.2,154.0,not_sufficient,fine
ceviche,0.6,80.5,386,7.3,319.7,sufficient,near_spoiled
ramen,6.3,81.5,180,0.0,420.1,sufficient,fine
french_toast,6.4,75.8,133,1.7,342.8,sufficient,fine
filet_mignon,1.3,63.4,295,3.6,347.7,sufficient,near_spoiled
fried_calamari,-1.9,78.6,185,1.6,344.4,sufficient,fine
dumplings,4.8,76.6,178,3.2,485.2,sufficient,fine
macaroni_and_cheese,3.0,70.6,346,1.7,591.9,sufficient,near_spoiled
strawberry_shortcake,5.4,63.8,118,0.0,132.1,not_sufficient,fine
ice_cream,2.2,89.5,151,4.7,156.2,not_sufficient,fine
falafel,5.8,74.9,170,0.0,307.3,sufficient,fine
filet_mignon,0.4,84.2,370,4.5,381.5,sufficient,near_spoiled
chicken_wings,4.9,85.0,253,6.2,114.0,not_sufficient,near_spoiled
dumplings,6.2,72.2,385,4.3,446.2,sufficient,near_spoiled
beef_carpaccio,2.9,61.2,152,0.0,196.0,not_sufficient,fine
hummus,4.7,68.7,108,1.1,283.1,not_sufficient,fine
breakfast_burrito,5.0,69.0,188,4.0,239.9,not_sufficient,fine
beef_salad,1.1,73.6,188,2.2,214.2,not_sufficient,fine
macaroni_and_cheese,2.0,75.1,321,2.0,270.0,not_sufficient,near_spoiled
greek_salad,2.7,84.7,441,3.8,298.4,not_sufficient,spoiled
edamame,3.0,76.4,610,8.4,498.5,sufficient,spoiled
